"","gene_id","NK1.count.txt","NK2.count.txt","T4.count.txt","T5.count.txt","T6.count.txt","symbols"
"246","ENSG00000009830",104,292,203,149,247,"POMT2"
"247","ENSG00000009844",196,544,482,307,501,"VTA1"
"248","ENSG00000009950",15,38,81,11,101,"MLXIPL"
"249","ENSG00000009954",525,1407,1188,785,1128,"BAZ1B"
"250","ENSG00000010017",246,715,586,522,646,"RANBP9"
"251","ENSG00000010030",8,11,14,2,8,"ETV7"
"252","ENSG00000010072",75,227,140,51,133,"SPRTN"
"253","ENSG00000010165",71,198,116,74,122,"EEF1AKNMT"
"254","ENSG00000010219",107,727,139,91,179,"DYRK4"
"255","ENSG00000010244",1247,3467,2556,1919,3097,"ZNF207"
"256","ENSG00000010256",83,267,171,105,228,"UQCRC1"
"257","ENSG00000010270",190,506,360,244,413,"STARD3NL"
"258","ENSG00000010278",445,1725,995,202,671,"CD9"
"259","ENSG00000010282",5,4,3,3,0,"HHATL"
"260","ENSG00000010292",337,875,743,480,788,"NCAPD2"
"261","ENSG00000010295",110,292,135,68,161,"IFFO1"
"262","ENSG00000010310",87,119,54,33,68,"GIPR"
"263","ENSG00000010318",39,73,35,15,38,"PHF7"
"264","ENSG00000010319",10,16,7,34,33,"SEMA3G"
"265","ENSG00000010322",485,1321,943,711,1342,"NISCH"
"266","ENSG00000010327",582,3897,193,285,335,"STAB1"
"267","ENSG00000010361",43,91,55,29,54,"FUZ"
"268","ENSG00000010379",13,6,17,9,55,"SLC6A13"
"269","ENSG00000010404",74,201,200,60,178,"IDS"
"270","ENSG00000010438",2,0,1,4,0,"PRSS3"
"271","ENSG00000010539",65,167,92,77,114,"ZNF200"
"272","ENSG00000010610",305,1390,317,232,345,"CD4"
"273","ENSG00000010626",33,65,48,30,59,"LRRC23"
"274","ENSG00000010671",1136,2034,1591,18,29,"BTK"
"275","ENSG00000010704",54,225,56,37,112,"HFE"
"276","ENSG00000010803",296,743,567,291,601,"SCMH1"
"277","ENSG00000010810",202,449,560,443,733,"FYN"
"278","ENSG00000010818",183,503,478,397,526,"HIVEP2"
"279","ENSG00000010932",15,23,80,10,103,"FMO1"
"280","ENSG00000011007",196,642,421,326,513,"ELOA"
"281","ENSG00000011009",63,181,115,78,142,"LYPLA2"
"282","ENSG00000011021",236,743,350,241,380,"CLCN6"
"283","ENSG00000011028",307,2118,612,1175,2406,"MRC2"
"284","ENSG00000011052",0,0,0,0,0,"NME1-NME2"
"285","ENSG00000011083",16,32,3,5,4,"SLC6A7"
"286","ENSG00000011105",91,328,289,305,857,"TSPAN9"
"287","ENSG00000011114",444,1151,856,575,910,"BTBD7"
